"field_id","owner","concept","java_name","java_type","db_column","sql_type","api_name","typescript_type","nullable","validation","release","data_classification","reference"
"TEN-SLUG","ENT-TENANT","Identificador público","slug","String","slug","varchar(120)","slug","string","YES","Único global; kebab-case; obrigatório ao habilitar reserva pública","INTERMEDIARIO","PUBLIC","RF-AGE-017"
"TEN-DEPOSIT-MODE","ENT-TENANT","Modalidade de sinal","depositMode","DepositMode","deposit_mode","varchar(20)","depositMode","DepositMode","NO","NONE PERCENTAGE FIXED; padrão NONE","INTERMEDIARIO","INTERNAL","RF-AGE-018"
"TEN-DEPOSIT-VALUE","ENT-TENANT","Valor do sinal","depositValue","BigDecimal","deposit_value","numeric(19,2)","depositValue","string","YES","Obrigatório e positivo quando modalidade não for NONE","INTERMEDIARIO","INTERNAL","RF-AGE-018"
"TEN-DEPOSIT-DEADLINE","ENT-TENANT","Prazo do sinal em minutos","depositDeadlineMinutes","Integer","deposit_deadline_minutes","integer","depositDeadlineMinutes","number","NO","1..10080","INTERMEDIARIO","INTERNAL","RF-AGE-018"
"TEN-MIN-NOTICE","ENT-TENANT","Antecedência mínima em minutos","minimumNoticeMinutes","Integer","minimum_notice_minutes","integer","minimumNoticeMinutes","number","NO","0..10080","MVP","INTERNAL","RF-DIS-006"
"TEN-BOOKING-HORIZON","ENT-TENANT","Horizonte de reserva em dias","bookingHorizonDays","Integer","booking_horizon_days","integer","bookingHorizonDays","number","NO","1..365","MVP","INTERNAL","RF-DIS-006"
"TEN-CANCEL-WINDOW","ENT-TENANT","Janela de cancelamento em minutos","cancellationWindowMinutes","Integer","cancellation_window_minutes","integer","cancellationWindowMinutes","number","NO","0..43200","MVP","INTERNAL","RN-AGE-008"
"TEN-NOSHOW-TOLERANCE","ENT-TENANT","Tolerância de falta em minutos","noShowToleranceMinutes","Integer","no_show_tolerance_minutes","integer","noShowToleranceMinutes","number","NO","0..240","MVP","INTERNAL","RN-AGE-009"
"TEN-WAITLIST-OFFER","ENT-TENANT","Validade da oferta da fila em minutos","waitlistOfferMinutes","Integer","waitlist_offer_minutes","integer","waitlistOfferMinutes","number","NO","1..1440","MVP","INTERNAL","RN-FIL-003"
"UNT-NAME","ENT-UNIT","Nome da unidade","name","String","name","varchar(120)","name","string","NO","2..120","MVP","PUBLIC","RF-TEN-001"
"UNT-DOCUMENT","ENT-UNIT","Documento da unidade","document","String","document","varchar(14)","document","string","YES","CPF ou CNPJ normalizado quando aplicável","MVP","PERSONAL","RF-TEN-002"
"UNT-EMAIL","ENT-UNIT","E-mail da unidade","email","String","email","varchar(254)","email","string","YES","E-mail válido","MVP","PERSONAL","RF-TEN-002"
"UNT-PHONE","ENT-UNIT","Telefone da unidade","phone","String","phone","varchar(20)","phone","string","YES","E.164 quando possível","MVP","PERSONAL","RF-TEN-002"
"UNT-TIMEZONE","ENT-UNIT","Fuso da unidade","timeZone","ZoneId","time_zone","varchar(60)","timeZone","string","NO","IANA timezone","MVP","INTERNAL","RN-DIS-004"
"UNT-POSTAL-CODE","ENT-UNIT","CEP","postalCode","String","postal_code","varchar(12)","postalCode","string","YES","Somente formato aceito","MVP","PERSONAL","RF-TEN-002"
"UNT-STREET","ENT-UNIT","Logradouro","street","String","street","varchar(180)","street","string","YES","Até 180","MVP","PERSONAL","RF-TEN-002"
"UNT-NUMBER","ENT-UNIT","Número","number","String","number","varchar(30)","number","string","YES","Até 30","MVP","PERSONAL","RF-TEN-002"
"UNT-COMPLEMENT","ENT-UNIT","Complemento","complement","String","complement","varchar(120)","complement","string","YES","Até 120","MVP","PERSONAL","RF-TEN-002"
"UNT-DISTRICT","ENT-UNIT","Bairro","district","String","district","varchar(120)","district","string","YES","Até 120","MVP","PERSONAL","RF-TEN-002"
"UNT-CITY","ENT-UNIT","Cidade","city","String","city","varchar(120)","city","string","YES","Até 120","MVP","PERSONAL","RF-TEN-002"
"UNT-STATE","ENT-UNIT","UF","state","String","state","char(2)","state","string","YES","UF válida","MVP","PERSONAL","RF-TEN-002"
"UNT-COUNTRY","ENT-UNIT","País","country","String","country","char(2)","country","string","NO","ISO alpha-2; padrão BR","MVP","PERSONAL","RF-TEN-002"
"UNT-ACTIVE","ENT-UNIT","Unidade ativa","active","Boolean","active","boolean","active","boolean","NO","Padrão true","MVP","INTERNAL","RF-TEN-004"
"UOH-UNIT-ID","ENT-UNIT-OPENING-HOUR","Unidade","unitId","UUID","unit_id","uuid","unitId","string","NO","FK do mesmo tenant","MVP","INTERNAL","ENT-UNIT"
"UOH-DAY","ENT-UNIT-OPENING-HOUR","Dia da semana","dayOfWeek","Integer","day_of_week","smallint","dayOfWeek","number","NO","1 segunda-feira a 7 domingo","MVP","INTERNAL","RF-TEN-003"
"UOH-START-TIME","ENT-UNIT-OPENING-HOUR","Início local","startTime","LocalTime","start_time","time","startTime","string","NO","Menor que endTime; hora civil da unidade","MVP","INTERNAL","RF-TEN-003"
"UOH-END-TIME","ENT-UNIT-OPENING-HOUR","Fim local","endTime","LocalTime","end_time","time","endTime","string","NO","Maior que startTime; intervalo semiaberto","MVP","INTERNAL","RF-TEN-003"
"USR-EMAIL","ENT-USER","E-mail de login","email","String","email","varchar(254)","email","string","NO","Válido; único normalizado","MVP","PERSONAL","RF-AUT-001"
"USR-PASSWORD-HASH","ENT-USER","Hash de senha","passwordHash","String","password_hash","varchar(255)","-","never","NO","PasswordEncoder aprovado","MVP","SECRET","RNF-SEG-003"
"USR-FULL-NAME","ENT-USER","Nome completo","fullName","String","full_name","varchar(160)","fullName","string","NO","2..160","MVP","PERSONAL","RF-USR-004"
"USR-PHONE","ENT-USER","Telefone","phone","String","phone","varchar(20)","phone","string","YES","E.164 quando possível","MVP","PERSONAL","RF-USR-004"
"USR-STATUS","ENT-USER","Estado do usuário","status","UserStatus","status","varchar(20)","status","UserStatus","NO","Enum canônico","MVP","INTERNAL","UserStatus"
"USR-EMAIL-VERIFIED-AT","ENT-USER","Verificação de e-mail","emailVerifiedAt","Instant","email_verified_at","timestamptz","emailVerifiedAt","string","YES","UTC","INTERMEDIARIO","PERSONAL","RF-AUT-009"
"USR-PHONE-VERIFIED-AT","ENT-USER","Verificação de telefone","phoneVerifiedAt","Instant","phone_verified_at","timestamptz","phoneVerifiedAt","string","YES","UTC","INTERMEDIARIO","PERSONAL","RF-AUT-009"
"USR-MFA-ENABLED","ENT-USER","MFA habilitado","mfaEnabled","Boolean","mfa_enabled","boolean","mfaEnabled","boolean","NO","Padrão false","FINAL","INTERNAL","RF-AUT-010"
"USR-MFA-SECRET-REF","ENT-USER","Referência do segredo MFA","mfaSecretReference","String","mfa_secret_reference","varchar(255)","-","never","YES","Secret manager; nunca exposto","FINAL","SECRET","RF-AUT-010"
"USR-MFA-ENROLLED-AT","ENT-USER","Adesão ao MFA","mfaEnrolledAt","Instant","mfa_enrolled_at","timestamptz","mfaEnrolledAt","string","YES","UTC","FINAL","INTERNAL","RF-AUT-010"
"USR-LAST-LOGIN-AT","ENT-USER","Último login","lastLoginAt","Instant","last_login_at","timestamptz","lastLoginAt","string","YES","UTC","MVP","INTERNAL","RF-AUT-001"
"MEM-USER-ID","ENT-USER-MEMBERSHIP","Usuário vinculado","userId","UUID","user_id","uuid","userId","string","NO","FK","MVP","INTERNAL","ENT-USER"
"MEM-UNIT-ID","ENT-USER-MEMBERSHIP","Unidade restrita","unitId","UUID","unit_id","uuid","unitId","string","YES","FK do mesmo tenant","INTERMEDIARIO","INTERNAL","ENT-UNIT"
"MEM-ROLE","ENT-USER-MEMBERSHIP","Papel","role","MembershipRole","role","varchar(30)","role","MembershipRole","NO","Enum canônico","MVP","INTERNAL","MembershipRole"
"MEM-ROLE-ID","ENT-USER-MEMBERSHIP","Papel personalizado","roleId","UUID","role_id","uuid","roleId","string","YES","FK do tenant; substitui role quando informado","FINAL","INTERNAL","ENT-ROLE"
"MEM-STATUS","ENT-USER-MEMBERSHIP","Estado do vínculo","status","UserStatus","status","varchar(20)","status","UserStatus","NO","Enum canônico","MVP","INTERNAL","RF-USR-002"
"MEM-INVITED-AT","ENT-USER-MEMBERSHIP","Data do convite","invitedAt","Instant","invited_at","timestamptz","invitedAt","string","YES","UTC","MVP","INTERNAL","RF-USR-001"
"MEM-ACCEPTED-AT","ENT-USER-MEMBERSHIP","Aceite do convite","acceptedAt","Instant","accepted_at","timestamptz","acceptedAt","string","YES","UTC","MVP","INTERNAL","RF-USR-001"
"SES-USER-ID","ENT-USER-SESSION","Usuário da sessão","userId","UUID","user_id","uuid","userId","string","NO","FK","MVP","INTERNAL","ENT-USER"
"SES-TENANT-ID","ENT-USER-SESSION","Tenant ativo","tenantId","UUID","tenant_id","uuid","tenantId","string","YES","FK","MVP","INTERNAL","ENT-TENANT"
"SES-FAMILY-ID","ENT-USER-SESSION","Família de rotação","familyId","UUID","family_id","uuid","-","never","NO","UUID","MVP","SECRET","RN-AUT-002"
"SES-REFRESH-HASH","ENT-USER-SESSION","Hash do refresh token","refreshTokenHash","String","refresh_token_hash","varchar(255)","-","never","NO","Nunca persistir token puro","MVP","SECRET","ADR-012"
"SES-DEVICE-NAME","ENT-USER-SESSION","Nome do dispositivo","deviceName","String","device_name","varchar(120)","deviceName","string","YES","Até 120","MVP","INTERNAL","RF-AUT-008"
"SES-IP-HASH","ENT-USER-SESSION","IP pseudonimizado","ipHash","String","ip_hash","varchar(128)","-","never","YES","Hash com segredo rotacionável","MVP","PERSONAL","RNF-SEG-008"
"SES-USER-AGENT","ENT-USER-SESSION","Agente do navegador","userAgent","String","user_agent","varchar(500)","userAgent","string","YES","Até 500","MVP","PERSONAL","RF-AUT-008"
"SES-EXPIRES-AT","ENT-USER-SESSION","Expiração","expiresAt","Instant","expires_at","timestamptz","expiresAt","string","NO","UTC e futuro na criação","MVP","INTERNAL","RF-AUT-002"
"SES-REVOKED-AT","ENT-USER-SESSION","Revogação","revokedAt","Instant","revoked_at","timestamptz","revokedAt","string","YES","UTC","MVP","INTERNAL","RF-AUT-003"
"ACH-USER-ID","ENT-AUTH-CHALLENGE","Usuário","userId","UUID","user_id","uuid","-","never","NO","FK; nunca usado para revelar existência de conta","MVP","INTERNAL","ENT-USER"
"ACH-TYPE","ENT-AUTH-CHALLENGE","Tipo de desafio","type","AuthChallengeType","type","varchar(30)","-","never","NO","PASSWORD_RECOVERY CONTACT_VERIFICATION MFA","MVP","INTERNAL","AuthChallengeType"
"ACH-DESTINATION-HASH","ENT-AUTH-CHALLENGE","Destino pseudonimizado","destinationHash","String","destination_hash","varchar(128)","-","never","YES","HMAC de e-mail ou telefone; não reversível","MVP","PERSONAL","RNF-SEG-008"
"ACH-TOKEN-HASH","ENT-AUTH-CHALLENGE","Hash do token","tokenHash","String","token_hash","varchar(255)","-","never","YES","Token aleatório exibido somente no canal","MVP","SECRET","RF-AUT-005"
"ACH-CODE-HASH","ENT-AUTH-CHALLENGE","Hash do código","codeHash","String","code_hash","varchar(255)","-","never","YES","Código curto nunca persistido em claro","INTERMEDIARIO","SECRET","RF-AUT-009"
"ACH-EXPIRES-AT","ENT-AUTH-CHALLENGE","Expiração","expiresAt","Instant","expires_at","timestamptz","-","never","NO","UTC e futuro na criação","MVP","INTERNAL","RF-AUT-005"
"ACH-CONSUMED-AT","ENT-AUTH-CHALLENGE","Consumo","consumedAt","Instant","consumed_at","timestamptz","-","never","YES","Uso único","MVP","INTERNAL","RF-AUT-005"
"ACH-ATTEMPT-COUNT","ENT-AUTH-CHALLENGE","Tentativas falhas","attemptCount","Integer","attempt_count","integer","-","never","NO","0..limite configurado","MVP","INTERNAL","RNF-SEG-003"
"ROL-KEY","ENT-ROLE","Chave estável","key","String","role_key","varchar(80)","key","string","NO","Única por tenant; kebab-case","FINAL","INTERNAL","RF-USR-010"
"ROL-NAME","ENT-ROLE","Nome","name","String","name","varchar(80)","name","string","NO","2..80","FINAL","INTERNAL","RF-USR-010"
"ROL-SYSTEM","ENT-ROLE","Papel do sistema","system","Boolean","system","boolean","system","boolean","NO","Padrão false; papel do sistema não é excluído","FINAL","INTERNAL","RF-USR-010"
"ROL-PERMISSIONS","ENT-ROLE","Permissões","permissions","Set<String>","permissions","jsonb","permissions","string[]","NO","Lista única de chaves aprovadas","FINAL","INTERNAL","RF-USR-010"
"ROL-STATUS","ENT-ROLE","Estado","status","String","status","varchar(20)","status","string","NO","ACTIVE ARCHIVED","FINAL","INTERNAL","RF-USR-010"
"CLI-USER-ID","ENT-CUSTOMER","Usuário opcional","userId","UUID","user_id","uuid","userId","string","YES","FK global","MVP","INTERNAL","ENT-USER"
"CLI-FULL-NAME","ENT-CUSTOMER","Nome do cliente","fullName","String","full_name","varchar(160)","fullName","string","NO","2..160","MVP","PERSONAL","RF-CLI-001"
"CLI-EMAIL","ENT-CUSTOMER","E-mail","email","String","email","varchar(254)","email","string","YES","Válido e normalizado","MVP","PERSONAL","RF-CLI-001"
"CLI-PHONE","ENT-CUSTOMER","Telefone","phone","String","phone","varchar(20)","phone","string","YES","E-mail ou telefone obrigatório","MVP","PERSONAL","RF-CLI-001"
"CLI-BIRTH-DATE","ENT-CUSTOMER","Nascimento","birthDate","LocalDate","birth_date","date","birthDate","string","YES","Não futura","MVP","PERSONAL","RF-CLI-002"
"CLI-NOTES","ENT-CUSTOMER","Observação operacional","notes","String","notes","varchar(1000)","notes","string","YES","Até 1000; sem HTML","MVP","PERSONAL","RF-CLI-004"
"CLI-STATUS","ENT-CUSTOMER","Estado","status","String","status","varchar(20)","status","string","NO","ACTIVE ou ARCHIVED","MVP","INTERNAL","RF-CLI-006"
"CLI-CONSENT-STATUS","ENT-CUSTOMER","Consentimento de comunicação","consentStatus","String","consent_status","varchar(20)","consentStatus","string","NO","UNKNOWN OPTED_IN OPTED_OUT","INTERMEDIARIO","PERSONAL","RF-CRM-003"
"CLI-LAST-VISIT-AT","ENT-CUSTOMER","Último atendimento","lastVisitAt","Instant","last_visit_at","timestamptz","lastVisitAt","string","YES","Campo derivado atualizável","INTERMEDIARIO","INTERNAL","RF-CRM-001"
"CMG-SOURCE-ID","ENT-CUSTOMER-MERGE","Cliente de origem","sourceCustomerId","UUID","source_customer_id","uuid","sourceCustomerId","string","NO","FK; diferente do destino","FINAL","PERSONAL","ENT-CUSTOMER"
"CMG-TARGET-ID","ENT-CUSTOMER-MERGE","Cliente de destino","targetCustomerId","UUID","target_customer_id","uuid","targetCustomerId","string","NO","FK; mesmo tenant","FINAL","PERSONAL","ENT-CUSTOMER"
"CMG-REASON","ENT-CUSTOMER-MERGE","Motivo","reason","String","reason","varchar(500)","reason","string","NO","10..500","FINAL","INTERNAL","RF-CLI-010"
"CMG-STATUS","ENT-CUSTOMER-MERGE","Estado","status","String","status","varchar(20)","status","string","NO","COMPLETED REVERSED","FINAL","INTERNAL","RF-CLI-010"
"CMG-REVERSED-AT","ENT-CUSTOMER-MERGE","Reversão","reversedAt","Instant","reversed_at","timestamptz","reversedAt","string","YES","UTC; exige auditoria","FINAL","INTERNAL","RF-CLI-010"
"BAR-USER-ID","ENT-BARBER-PROFILE","Usuário profissional","userId","UUID","user_id","uuid","userId","string","NO","Único por tenant","MVP","INTERNAL","ENT-USER"
"BAR-UNIT-ID","ENT-BARBER-PROFILE","Unidade principal","unitId","UUID","unit_id","uuid","unitId","string","NO","FK do tenant","MVP","INTERNAL","ENT-UNIT"
"BAR-PUBLIC-NAME","ENT-BARBER-PROFILE","Nome público","publicName","String","public_name","varchar(120)","publicName","string","NO","2..120","MVP","PUBLIC","RF-BAR-002"
"BAR-BIO","ENT-BARBER-PROFILE","Biografia","bio","String","bio","varchar(1000)","bio","string","YES","Até 1000; texto simples","MVP","PUBLIC","RF-BAR-002"
"BAR-ACTIVE","ENT-BARBER-PROFILE","Profissional ativo","active","Boolean","active","boolean","active","boolean","NO","Padrão true","MVP","INTERNAL","RF-BAR-003"
"SCT-NAME","ENT-SERVICE-CATEGORY","Nome da categoria","name","String","name","varchar(100)","name","string","NO","Único ativo por tenant","MVP","PUBLIC","RF-SER-001"
"SCT-SORT","ENT-SERVICE-CATEGORY","Ordem","sortOrder","Integer","sort_order","integer","sortOrder","number","NO",">=0","MVP","INTERNAL","RF-SER-001"
"SCT-ACTIVE","ENT-SERVICE-CATEGORY","Ativa","active","Boolean","active","boolean","active","boolean","NO","Padrão true","MVP","INTERNAL","RF-SER-001"
"SER-UNIT-ID","ENT-SERVICE","Unidade opcional","unitId","UUID","unit_id","uuid","unitId","string","YES","FK do mesmo tenant; nulo significa catálogo global","FINAL","INTERNAL","RF-SER-008"
"SER-CATEGORY-ID","ENT-SERVICE","Categoria","categoryId","UUID","category_id","uuid","categoryId","string","YES","FK do tenant","MVP","INTERNAL","ENT-SERVICE-CATEGORY"
"SER-TYPE","ENT-SERVICE","Tipo do serviço","serviceType","ServiceType","service_type","varchar(20)","serviceType","ServiceType","NO","SERVICE COMBO ADDON; padrão SERVICE","MVP","INTERNAL","RF-SER-007"
"SER-NAME","ENT-SERVICE","Nome","name","String","name","varchar(120)","name","string","NO","2..120","MVP","PUBLIC","RF-SER-002"
"SER-DESCRIPTION","ENT-SERVICE","Descrição","description","String","description","varchar(1000)","description","string","YES","Até 1000","MVP","PUBLIC","RF-SER-002"
"SER-DURATION","ENT-SERVICE","Duração","durationMinutes","Integer","duration_minutes","integer","durationMinutes","number","NO","5..720","MVP","PUBLIC","RF-SER-003"
"SER-BUFFER-BEFORE","ENT-SERVICE","Buffer anterior","bufferBeforeMinutes","Integer","buffer_before_minutes","integer","bufferBeforeMinutes","number","NO","0..240","MVP","INTERNAL","RF-SER-003"
"SER-BUFFER-AFTER","ENT-SERVICE","Buffer posterior","bufferAfterMinutes","Integer","buffer_after_minutes","integer","bufferAfterMinutes","number","NO","0..240","MVP","INTERNAL","RF-SER-003"
"SER-PRICE","ENT-SERVICE","Preço","price","BigDecimal","price","numeric(19,2)","price","string","NO",">=0; decimal","MVP","PUBLIC","ADR-011"
"SER-ACTIVE","ENT-SERVICE","Ativo","active","Boolean","active","boolean","active","boolean","NO","Padrão true","MVP","INTERNAL","RF-SER-005"
"SER-SORT","ENT-SERVICE","Ordem","sortOrder","Integer","sort_order","integer","sortOrder","number","NO",">=0","MVP","INTERNAL","RF-SER-006"
"BSE-BARBER-ID","ENT-BARBER-SERVICE","Profissional","barberId","UUID","barber_id","uuid","barberId","string","NO","FK do tenant","MVP","INTERNAL","ENT-BARBER-PROFILE"
"BSE-SERVICE-ID","ENT-BARBER-SERVICE","Serviço","serviceId","UUID","service_id","uuid","serviceId","string","NO","FK do tenant; par único","MVP","INTERNAL","ENT-SERVICE"
"BSE-DURATION","ENT-BARBER-SERVICE","Duração sobrescrita","durationOverrideMinutes","Integer","duration_override_minutes","integer","durationOverrideMinutes","number","YES","5..720","MVP","INTERNAL","RN-SER-001"
"BSE-PRICE","ENT-BARBER-SERVICE","Preço sobrescrito","priceOverride","BigDecimal","price_override","numeric(19,2)","priceOverride","string","YES",">=0","MVP","INTERNAL","RN-SER-001"
"BSE-ACTIVE","ENT-BARBER-SERVICE","Vínculo ativo","active","Boolean","active","boolean","active","boolean","NO","Padrão true","MVP","INTERNAL","RF-BAR-004"
"SCO-PARENT-ID","ENT-SERVICE-COMPOSITION","Serviço composto","parentServiceId","UUID","parent_service_id","uuid","parentServiceId","string","NO","FK; tipo COMBO ou ADDON","INTERMEDIARIO","INTERNAL","ENT-SERVICE"
"SCO-COMPONENT-ID","ENT-SERVICE-COMPOSITION","Serviço componente","componentServiceId","UUID","component_service_id","uuid","componentServiceId","string","NO","FK; diferente do pai; par único","INTERMEDIARIO","INTERNAL","ENT-SERVICE"
"SCO-QUANTITY","ENT-SERVICE-COMPOSITION","Quantidade","quantity","Integer","quantity","integer","quantity","number","NO","1..100","INTERMEDIARIO","INTERNAL","RF-SER-007"
"WSC-UNIT-ID","ENT-WORK-SCHEDULE","Unidade","unitId","UUID","unit_id","uuid","unitId","string","NO","FK do tenant","MVP","INTERNAL","ENT-UNIT"
"WSC-BARBER-ID","ENT-WORK-SCHEDULE","Profissional","barberId","UUID","barber_id","uuid","barberId","string","NO","FK do tenant","MVP","INTERNAL","ENT-BARBER-PROFILE"
"WSC-WEEKDAY","ENT-WORK-SCHEDULE","Dia da semana","weekDay","DayOfWeek","week_day","smallint","weekDay","number","NO","1..7 ISO","MVP","INTERNAL","RF-DIS-001"
"WSC-START-TIME","ENT-WORK-SCHEDULE","Início local","startLocalTime","LocalTime","start_local_time","time","startLocalTime","string","NO","Menor que fim","MVP","INTERNAL","RN-DIS-002"
"WSC-END-TIME","ENT-WORK-SCHEDULE","Fim local","endLocalTime","LocalTime","end_local_time","time","endLocalTime","string","NO","Maior que início","MVP","INTERNAL","RN-DIS-002"
"WSC-VALID-FROM","ENT-WORK-SCHEDULE","Início da vigência","validFrom","LocalDate","valid_from","date","validFrom","string","NO","Data válida","MVP","INTERNAL","RF-DIS-001"
"WSC-VALID-TO","ENT-WORK-SCHEDULE","Fim da vigência","validTo","LocalDate","valid_to","date","validTo","string","YES",">= validFrom","MVP","INTERNAL","RF-DIS-001"
"AEX-UNIT-ID","ENT-AVAILABILITY-EXCEPTION","Unidade","unitId","UUID","unit_id","uuid","unitId","string","NO","FK do tenant","MVP","INTERNAL","ENT-UNIT"
"AEX-BARBER-ID","ENT-AVAILABILITY-EXCEPTION","Profissional opcional","barberId","UUID","barber_id","uuid","barberId","string","YES","Nulo significa unidade","MVP","INTERNAL","ENT-BARBER-PROFILE"
"AEX-TYPE","ENT-AVAILABILITY-EXCEPTION","Tipo","type","ExceptionType","type","varchar(20)","type","ExceptionType","NO","Enum canônico","MVP","INTERNAL","ExceptionType"
"AEX-START-AT","ENT-AVAILABILITY-EXCEPTION","Início","startAt","Instant","start_at","timestamptz","startAt","string","NO","UTC; menor que fim","MVP","INTERNAL","RN-DIS-004"
"AEX-END-AT","ENT-AVAILABILITY-EXCEPTION","Fim","endAt","Instant","end_at","timestamptz","endAt","string","NO","UTC; maior que início","MVP","INTERNAL","RN-DIS-004"
"AEX-REASON","ENT-AVAILABILITY-EXCEPTION","Motivo","reason","String","reason","varchar(500)","reason","string","YES","Até 500","MVP","INTERNAL","RF-DIS-004"
"AEX-RECURRENCE","ENT-AVAILABILITY-EXCEPTION","Recorrência opcional","recurrenceRule","String","recurrence_rule","varchar(500)","recurrenceRule","string","YES","RRULE validada e limitada","MVP","INTERNAL","RF-DIS-002"
"RCR-RRULE","ENT-RECURRENCE-SERIES","Regra de recorrência","rule","String","recurrence_rule","varchar(500)","rule","string","NO","Subconjunto RFC 5545 aprovado","MVP","INTERNAL","RF-AGE-013"
"RCR-TIMEZONE","ENT-RECURRENCE-SERIES","Fuso da série","timeZone","ZoneId","time_zone","varchar(60)","timeZone","string","NO","IANA","MVP","INTERNAL","ADR-010"
"RCR-START-DATE","ENT-RECURRENCE-SERIES","Primeira data","startDate","LocalDate","start_date","date","startDate","string","NO","Data válida","MVP","INTERNAL","RF-AGE-013"
"RCR-END-DATE","ENT-RECURRENCE-SERIES","Data final","endDate","LocalDate","end_date","date","endDate","string","YES",">= startDate","MVP","INTERNAL","RF-AGE-013"
"RCR-COUNT","ENT-RECURRENCE-SERIES","Quantidade máxima","count","Integer","occurrence_count","integer","count","number","YES","1..365","MVP","INTERNAL","RF-AGE-013"
"RCR-STATUS","ENT-RECURRENCE-SERIES","Estado da série","status","String","status","varchar(20)","status","string","NO","ACTIVE CANCELED COMPLETED","MVP","INTERNAL","RF-AGE-014"
"APT-UNIT-ID","ENT-APPOINTMENT","Unidade","unitId","UUID","unit_id","uuid","unitId","string","NO","FK do tenant","MVP","INTERNAL","ENT-UNIT"
"APT-CUSTOMER-ID","ENT-APPOINTMENT","Cliente","customerId","UUID","customer_id","uuid","customerId","string","NO","FK do tenant","MVP","PERSONAL","ENT-CUSTOMER"
"APT-BARBER-ID","ENT-APPOINTMENT","Profissional","barberId","UUID","barber_id","uuid","barberId","string","NO","FK do tenant","MVP","INTERNAL","ENT-BARBER-PROFILE"
"APT-SERIES-ID","ENT-APPOINTMENT","Série opcional","recurrenceSeriesId","UUID","recurrence_series_id","uuid","recurrenceSeriesId","string","YES","FK do tenant","MVP","INTERNAL","ENT-RECURRENCE-SERIES"
"APT-CHANNEL","ENT-APPOINTMENT","Canal de origem","channel","AppointmentChannel","channel","varchar(20)","channel","AppointmentChannel","NO","Enum canônico","MVP","INTERNAL","AppointmentChannel"
"APT-STATUS","ENT-APPOINTMENT","Estado","status","AppointmentStatus","status","varchar(20)","status","AppointmentStatus","NO","Enum canônico","MVP","INTERNAL","RN-AGE-003"
"APT-START-AT","ENT-APPOINTMENT","Início","startAt","Instant","start_at","timestamptz","startAt","string","NO","UTC; menor que fim","MVP","INTERNAL","RN-AGE-001"
