"requirement_id","business_rule_ids","entity_ids","api_operation_ids","screen_ids","test_case_ids","release"
"RF-CLI-003","RN-CLI-001|RN-CLI-002|RN-CLI-003","ENT-CUSTOMER|ENT-APPOINTMENT","listCustomerAppointments","TEL-CLI-LIST|TEL-CLI-DETAIL","CT-CLI-RF003","MVP"
"RF-CLI-004","RN-CLI-001|RN-CLI-002|RN-CLI-003","ENT-CUSTOMER|ENT-APPOINTMENT","updateCustomer","TEL-CLI-LIST|TEL-CLI-DETAIL","CT-CLI-RF004","MVP"
"RF-CLI-005","RN-CLI-001|RN-CLI-002|RN-CLI-003","ENT-CUSTOMER|ENT-APPOINTMENT","createCustomer","TEL-CLI-LIST|TEL-CLI-DETAIL","CT-CLI-RF005|CT-CLI-001","MVP"
"RF-CLI-006","RN-CLI-001|RN-CLI-002|RN-CLI-003","ENT-CUSTOMER|ENT-APPOINTMENT","archiveCustomer","TEL-CLI-LIST|TEL-CLI-DETAIL","CT-CLI-RF006","MVP"
"RF-CLI-007","RN-CLI-001|RN-CLI-002|RN-CLI-003","ENT-CUSTOMER|ENT-APPOINTMENT","getCustomer|listCustomerAppointments","TEL-CLI-LIST|TEL-CLI-DETAIL","CT-CLI-RF007","MVP"
"RF-CLI-008","RN-CLI-001|RN-CLI-002|RN-CLI-003","ENT-CUSTOMER|ENT-APPOINTMENT","importCustomers","TEL-CLI-LIST|TEL-CLI-DETAIL","CT-CLI-RF008","INTERMEDIARIO"
"RF-CLI-009","RN-CLI-001|RN-CLI-002|RN-CLI-003","ENT-CUSTOMER|ENT-APPOINTMENT","exportCustomers","TEL-CLI-LIST|TEL-CLI-DETAIL","CT-CLI-RF009","INTERMEDIARIO"
"RF-CLI-010","RN-CLI-001|RN-CLI-002|RN-CLI-003","ENT-CUSTOMER|ENT-CUSTOMER-MERGE|ENT-APPOINTMENT","mergeCustomers","TEL-CLI-LIST|TEL-CLI-DETAIL","CT-CLI-RF010","FINAL"
"RF-BAR-001","RN-BAR-001|RN-TEN-002","ENT-BARBER-PROFILE|ENT-BARBER-SERVICE","listBarbers|createBarber","TEL-BAR-LIST|TEL-AGE-CALENDAR|TEL-COM-SUMMARY","CT-BAR-RF001","MVP"
"RF-BAR-002","RN-BAR-001|RN-TEN-002","ENT-BARBER-PROFILE|ENT-BARBER-SERVICE","updateBarber","TEL-BAR-LIST|TEL-AGE-CALENDAR|TEL-COM-SUMMARY","CT-BAR-RF002","MVP"
"RF-BAR-003","RN-BAR-001|RN-TEN-002","ENT-BARBER-PROFILE|ENT-BARBER-SERVICE","updateBarber","TEL-BAR-LIST|TEL-AGE-CALENDAR|TEL-COM-SUMMARY","CT-BAR-RF003","MVP"
"RF-BAR-004","RN-BAR-001|RN-TEN-002","ENT-BARBER-PROFILE|ENT-BARBER-SERVICE","replaceBarberServices","TEL-BAR-LIST|TEL-AGE-CALENDAR|TEL-COM-SUMMARY","CT-BAR-RF004","MVP"
"RF-BAR-005","RN-BAR-001|RN-TEN-002","ENT-BARBER-PROFILE|ENT-BARBER-SERVICE","listAppointments","TEL-BAR-LIST|TEL-AGE-CALENDAR|TEL-COM-SUMMARY","CT-BAR-RF005","MVP"
"RF-BAR-006","RN-BAR-001|RN-TEN-002","ENT-BARBER-PROFILE|ENT-BARBER-SERVICE","getCommissionSummary","TEL-BAR-LIST|TEL-AGE-CALENDAR|TEL-COM-SUMMARY","CT-BAR-RF006","MVP"
"RF-SER-001","RN-SER-001|RN-SER-002|RN-SER-003","ENT-SERVICE-CATEGORY|ENT-SERVICE|ENT-BARBER-SERVICE","listServiceCategories|createServiceCategory","TEL-SER-LIST","CT-SER-RF001","MVP"
"RF-SER-002","RN-SER-001|RN-SER-002|RN-SER-003","ENT-SERVICE-CATEGORY|ENT-SERVICE|ENT-BARBER-SERVICE","listServices|createService","TEL-SER-LIST","CT-SER-RF002","MVP"
"RF-SER-003","RN-SER-001|RN-SER-002|RN-SER-003","ENT-SERVICE-CATEGORY|ENT-SERVICE|ENT-BARBER-SERVICE","updateService","TEL-SER-LIST","CT-SER-RF003|CT-SER-001","MVP"
"RF-SER-004","RN-SER-001|RN-SER-002|RN-SER-003","ENT-SERVICE-CATEGORY|ENT-SERVICE|ENT-BARBER-SERVICE","replaceBarberServices","TEL-SER-LIST","CT-SER-RF004","MVP"
"RF-SER-005","RN-SER-001|RN-SER-002|RN-SER-003","ENT-SERVICE-CATEGORY|ENT-SERVICE|ENT-BARBER-SERVICE","updateService","TEL-SER-LIST","CT-SER-RF005","MVP"
"RF-SER-006","RN-SER-001|RN-SER-002|RN-SER-003","ENT-SERVICE-CATEGORY|ENT-SERVICE|ENT-BARBER-SERVICE","updateService","TEL-SER-LIST","CT-SER-RF006","MVP"
"RF-SER-007","RN-SER-001|RN-SER-002|RN-SER-003","ENT-SERVICE|ENT-SERVICE-COMPOSITION","createService|updateService","TEL-SER-LIST","CT-SER-RF007","INTERMEDIARIO"
"RF-SER-008","RN-SER-001|RN-SER-002|RN-SER-003","ENT-SERVICE-CATEGORY|ENT-SERVICE|ENT-BARBER-SERVICE","createService|updateService","TEL-SER-LIST","CT-SER-RF008","FINAL"
"RF-DIS-001","RN-DIS-001|RN-DIS-002|RN-DIS-003|RN-DIS-004|RN-DIS-005|RN-DIS-006","ENT-WORK-SCHEDULE|ENT-AVAILABILITY-EXCEPTION","listWorkSchedules|replaceWorkSchedules","TEL-DIS-SCHEDULE|TEL-AGE-EDITOR","CT-DIS-RF001","MVP"
"RF-DIS-002","RN-DIS-001|RN-DIS-002|RN-DIS-003|RN-DIS-004|RN-DIS-005|RN-DIS-006","ENT-WORK-SCHEDULE|ENT-AVAILABILITY-EXCEPTION","createAvailabilityException","TEL-DIS-SCHEDULE|TEL-AGE-EDITOR","CT-DIS-RF002","MVP"
"RF-DIS-003","RN-DIS-001|RN-DIS-002|RN-DIS-003|RN-DIS-004|RN-DIS-005|RN-DIS-006","ENT-WORK-SCHEDULE|ENT-AVAILABILITY-EXCEPTION","listAvailabilityExceptions|createAvailabilityException|deleteAvailabilityException","TEL-DIS-SCHEDULE|TEL-AGE-EDITOR","CT-DIS-RF003","MVP"
"RF-DIS-004","RN-DIS-001|RN-DIS-002|RN-DIS-003|RN-DIS-004|RN-DIS-005|RN-DIS-006","ENT-WORK-SCHEDULE|ENT-AVAILABILITY-EXCEPTION","createAvailabilityException","TEL-DIS-SCHEDULE|TEL-AGE-EDITOR","CT-DIS-RF004","MVP"
"RF-DIS-005","RN-DIS-001|RN-DIS-002|RN-DIS-003|RN-DIS-004|RN-DIS-005|RN-DIS-006","ENT-WORK-SCHEDULE|ENT-AVAILABILITY-EXCEPTION","getBarberAvailability","TEL-DIS-SCHEDULE|TEL-AGE-EDITOR","CT-DIS-RF005|CT-DIS-001","MVP"
"RF-DIS-006","RN-DIS-001|RN-DIS-002|RN-DIS-003|RN-DIS-004|RN-DIS-005|RN-DIS-006","ENT-WORK-SCHEDULE|ENT-AVAILABILITY-EXCEPTION","getBookingPolicy|updateBookingPolicy","TEL-DIS-SCHEDULE|TEL-AGE-EDITOR","CT-DIS-RF006","MVP"
"RF-AGE-001","RN-AGE-001|RN-AGE-002|RN-AGE-003|RN-AGE-004|RN-AGE-005|RN-AGE-006|RN-AGE-007|RN-AGE-008|RN-AGE-009|RN-AGE-010|RN-AGE-011|RN-AGE-012|RN-AGE-013|RN-AGE-014|RN-AGE-015","ENT-APPOINTMENT|ENT-APPOINTMENT-ITEM|ENT-APPOINTMENT-HISTORY|ENT-RECURRENCE-SERIES","createAppointment","TEL-AGE-CALENDAR|TEL-AGE-EDITOR|TEL-BOOK-CLIENT|TEL-CLIENT-APPOINTMENTS","CT-AGE-RF001|CT-AGE-001|CT-AGE-002","MVP"
"RF-AGE-002","RN-AGE-001|RN-AGE-002|RN-AGE-003|RN-AGE-004|RN-AGE-005|RN-AGE-006|RN-AGE-007|RN-AGE-008|RN-AGE-009|RN-AGE-010|RN-AGE-011|RN-AGE-012|RN-AGE-013|RN-AGE-014|RN-AGE-015","ENT-BARBER-PROFILE|ENT-SERVICE|ENT-APPOINTMENT|ENT-APPOINTMENT-ITEM","getBarberAvailability|createAppointment","TEL-BOOK-CLIENT|TEL-CLIENT-APPOINTMENTS","CT-AGE-RF002","MVP"
"RF-AGE-003","RN-AGE-001|RN-AGE-002|RN-AGE-003|RN-AGE-004|RN-AGE-005|RN-AGE-006|RN-AGE-007|RN-AGE-008|RN-AGE-009|RN-AGE-010|RN-AGE-011|RN-AGE-012|RN-AGE-013|RN-AGE-014|RN-AGE-015","ENT-APPOINTMENT|ENT-APPOINTMENT-ITEM|ENT-APPOINTMENT-HISTORY|ENT-RECURRENCE-SERIES","getAppointment|updateAppointment","TEL-AGE-CALENDAR|TEL-AGE-EDITOR|TEL-BOOK-CLIENT|TEL-CLIENT-APPOINTMENTS","CT-AGE-RF003","MVP"
"RF-AGE-004","RN-AGE-001|RN-AGE-002|RN-AGE-003|RN-AGE-004|RN-AGE-005|RN-AGE-006|RN-AGE-007|RN-AGE-008|RN-AGE-009|RN-AGE-010|RN-AGE-011|RN-AGE-012|RN-AGE-013|RN-AGE-014|RN-AGE-015","ENT-APPOINTMENT|ENT-APPOINTMENT-ITEM|ENT-APPOINTMENT-HISTORY|ENT-RECURRENCE-SERIES","rescheduleAppointment","TEL-AGE-CALENDAR|TEL-AGE-EDITOR|TEL-BOOK-CLIENT|TEL-CLIENT-APPOINTMENTS","CT-AGE-RF004|CT-AGE-004","MVP"
"RF-AGE-005","RN-AGE-001|RN-AGE-002|RN-AGE-003|RN-AGE-004|RN-AGE-005|RN-AGE-006|RN-AGE-007|RN-AGE-008|RN-AGE-009|RN-AGE-010|RN-AGE-011|RN-AGE-012|RN-AGE-013|RN-AGE-014|RN-AGE-015","ENT-APPOINTMENT|ENT-APPOINTMENT-ITEM|ENT-APPOINTMENT-HISTORY|ENT-RECURRENCE-SERIES","transitionAppointment","TEL-AGE-CALENDAR|TEL-AGE-EDITOR|TEL-BOOK-CLIENT|TEL-CLIENT-APPOINTMENTS","CT-AGE-RF005|CT-AGE-006","MVP"
"RF-AGE-006","RN-AGE-001|RN-AGE-002|RN-AGE-003|RN-AGE-004|RN-AGE-005|RN-AGE-006|RN-AGE-007|RN-AGE-008|RN-AGE-009|RN-AGE-010|RN-AGE-011|RN-AGE-012|RN-AGE-013|RN-AGE-014|RN-AGE-015","ENT-APPOINTMENT|ENT-APPOINTMENT-ITEM|ENT-APPOINTMENT-HISTORY|ENT-RECURRENCE-SERIES","transitionAppointment","TEL-AGE-CALENDAR|TEL-AGE-EDITOR|TEL-BOOK-CLIENT|TEL-CLIENT-APPOINTMENTS","CT-AGE-RF006","MVP"
"RF-AGE-007","RN-AGE-001|RN-AGE-002|RN-AGE-003|RN-AGE-004|RN-AGE-005|RN-AGE-006|RN-AGE-007|RN-AGE-008|RN-AGE-009|RN-AGE-010|RN-AGE-011|RN-AGE-012|RN-AGE-013|RN-AGE-014|RN-AGE-015","ENT-APPOINTMENT|ENT-APPOINTMENT-ITEM|ENT-APPOINTMENT-HISTORY|ENT-RECURRENCE-SERIES","transitionAppointment","TEL-AGE-CALENDAR|TEL-AGE-EDITOR|TEL-BOOK-CLIENT|TEL-CLIENT-APPOINTMENTS","CT-AGE-RF007","MVP"
"RF-AGE-008","RN-AGE-001|RN-AGE-002|RN-AGE-003|RN-AGE-004|RN-AGE-005|RN-AGE-006|RN-AGE-007|RN-AGE-008|RN-AGE-009|RN-AGE-010|RN-AGE-011|RN-AGE-012|RN-AGE-013|RN-AGE-014|RN-AGE-015","ENT-APPOINTMENT|ENT-APPOINTMENT-ITEM|ENT-APPOINTMENT-HISTORY|ENT-RECURRENCE-SERIES","transitionAppointment","TEL-AGE-CALENDAR|TEL-AGE-EDITOR|TEL-BOOK-CLIENT|TEL-CLIENT-APPOINTMENTS","CT-AGE-RF008","MVP"
"RF-AGE-009","RN-AGE-001|RN-AGE-002|RN-AGE-003|RN-AGE-004|RN-AGE-005|RN-AGE-006|RN-AGE-007|RN-AGE-008|RN-AGE-009|RN-AGE-010|RN-AGE-011|RN-AGE-012|RN-AGE-013|RN-AGE-014|RN-AGE-015","ENT-APPOINTMENT|ENT-APPOINTMENT-ITEM|ENT-APPOINTMENT-HISTORY|ENT-RECURRENCE-SERIES","transitionAppointment","TEL-AGE-CALENDAR|TEL-AGE-EDITOR|TEL-BOOK-CLIENT|TEL-CLIENT-APPOINTMENTS","CT-AGE-RF009|CT-AGE-003","MVP"
"RF-AGE-010","RN-AGE-001|RN-AGE-002|RN-AGE-003|RN-AGE-004|RN-AGE-005|RN-AGE-006|RN-AGE-007|RN-AGE-008|RN-AGE-009|RN-AGE-010|RN-AGE-011|RN-AGE-012|RN-AGE-013|RN-AGE-014|RN-AGE-015","ENT-APPOINTMENT|ENT-APPOINTMENT-ITEM|ENT-APPOINTMENT-HISTORY|ENT-RECURRENCE-SERIES","transitionAppointment","TEL-AGE-CALENDAR|TEL-AGE-EDITOR|TEL-BOOK-CLIENT|TEL-CLIENT-APPOINTMENTS","CT-AGE-RF010","MVP"
"RF-AGE-011","RN-AGE-001|RN-AGE-002|RN-AGE-003|RN-AGE-004|RN-AGE-005|RN-AGE-006|RN-AGE-007|RN-AGE-008|RN-AGE-009|RN-AGE-010|RN-AGE-011|RN-AGE-012|RN-AGE-013|RN-AGE-014|RN-AGE-015","ENT-APPOINTMENT|ENT-APPOINTMENT-ITEM|ENT-APPOINTMENT-HISTORY|ENT-RECURRENCE-SERIES","createAppointment","TEL-AGE-CALENDAR|TEL-AGE-EDITOR|TEL-BOOK-CLIENT|TEL-CLIENT-APPOINTMENTS","CT-AGE-RF011","MVP"
"RF-AGE-012","RN-AGE-001|RN-AGE-002|RN-AGE-003|RN-AGE-004|RN-AGE-005|RN-AGE-006|RN-AGE-007|RN-AGE-008|RN-AGE-009|RN-AGE-010|RN-AGE-011|RN-AGE-012|RN-AGE-013|RN-AGE-014|RN-AGE-015","ENT-APPOINTMENT|ENT-APPOINTMENT-ITEM|ENT-APPOINTMENT-HISTORY|ENT-RECURRENCE-SERIES","createAppointment","TEL-AGE-CALENDAR|TEL-AGE-EDITOR|TEL-BOOK-CLIENT|TEL-CLIENT-APPOINTMENTS","CT-AGE-RF012","MVP"
"RF-AGE-013","RN-AGE-001|RN-AGE-002|RN-AGE-003|RN-AGE-004|RN-AGE-005|RN-AGE-006|RN-AGE-007|RN-AGE-008|RN-AGE-009|RN-AGE-010|RN-AGE-011|RN-AGE-012|RN-AGE-013|RN-AGE-014|RN-AGE-015","ENT-APPOINTMENT|ENT-APPOINTMENT-ITEM|ENT-APPOINTMENT-HISTORY|ENT-RECURRENCE-SERIES","createAppointment","TEL-AGE-CALENDAR|TEL-AGE-EDITOR|TEL-BOOK-CLIENT|TEL-CLIENT-APPOINTMENTS","CT-AGE-RF013|CT-AGE-005","MVP"
"RF-AGE-014","RN-AGE-001|RN-AGE-002|RN-AGE-003|RN-AGE-004|RN-AGE-005|RN-AGE-006|RN-AGE-007|RN-AGE-008|RN-AGE-009|RN-AGE-010|RN-AGE-011|RN-AGE-012|RN-AGE-013|RN-AGE-014|RN-AGE-015","ENT-APPOINTMENT|ENT-APPOINTMENT-ITEM|ENT-APPOINTMENT-HISTORY|ENT-RECURRENCE-SERIES","updateAppointment|rescheduleAppointment","TEL-AGE-CALENDAR|TEL-AGE-EDITOR|TEL-BOOK-CLIENT|TEL-CLIENT-APPOINTMENTS","CT-AGE-RF014","MVP"
"RF-AGE-015","RN-AGE-001|RN-AGE-002|RN-AGE-003|RN-AGE-004|RN-AGE-005|RN-AGE-006|RN-AGE-007|RN-AGE-008|RN-AGE-009|RN-AGE-010|RN-AGE-011|RN-AGE-012|RN-AGE-013|RN-AGE-014|RN-AGE-015","ENT-APPOINTMENT|ENT-APPOINTMENT-ITEM|ENT-APPOINTMENT-HISTORY|ENT-RECURRENCE-SERIES","listAppointments","TEL-AGE-CALENDAR|TEL-AGE-EDITOR|TEL-BOOK-CLIENT|TEL-CLIENT-APPOINTMENTS","CT-AGE-RF015","MVP"
"RF-AGE-016","RN-AGE-001|RN-AGE-002|RN-AGE-003|RN-AGE-004|RN-AGE-005|RN-AGE-006|RN-AGE-007|RN-AGE-008|RN-AGE-009|RN-AGE-010|RN-AGE-011|RN-AGE-012|RN-AGE-013|RN-AGE-014|RN-AGE-015","ENT-APPOINTMENT|ENT-APPOINTMENT-ITEM|ENT-APPOINTMENT-HISTORY|ENT-RECURRENCE-SERIES","listAppointments","TEL-AGE-CALENDAR|TEL-AGE-EDITOR|TEL-BOOK-CLIENT|TEL-CLIENT-APPOINTMENTS","CT-AGE-RF016","INTERMEDIARIO"
"RF-AGE-017","RN-AGE-001|RN-AGE-002|RN-AGE-003|RN-AGE-004|RN-AGE-005|RN-AGE-006|RN-AGE-007|RN-AGE-008|RN-AGE-009|RN-AGE-010|RN-AGE-011|RN-AGE-012|RN-AGE-013|RN-AGE-014|RN-AGE-015","ENT-TENANT|ENT-UNIT|ENT-CUSTOMER|ENT-BARBER-PROFILE|ENT-SERVICE|ENT-APPOINTMENT|ENT-APPOINTMENT-ITEM","getPublicBookingCatalog|getPublicAvailability|createPublicAppointment","TEL-BOOK-PUBLIC","CT-AGE-RF017","INTERMEDIARIO"
"RF-AGE-018","RN-AGE-001|RN-AGE-002|RN-AGE-003|RN-AGE-004|RN-AGE-005|RN-AGE-006|RN-AGE-007|RN-AGE-008|RN-AGE-009|RN-AGE-010|RN-AGE-011|RN-AGE-012|RN-AGE-013|RN-AGE-014|RN-AGE-015|RN-AGE-016","ENT-TENANT|ENT-APPOINTMENT|ENT-PAYMENT","getDepositPolicy|updateDepositPolicy","TEL-AGE-EDITOR|TEL-BOOK-CLIENT|TEL-BOOK-PUBLIC","CT-AGE-RF018","INTERMEDIARIO"
"RF-FIL-001","RN-FIL-001|RN-FIL-002|RN-FIL-003|RN-FIL-004","ENT-WAITLIST-ENTRY|ENT-WAITLIST-OFFER|ENT-APPOINTMENT","createWaitlistEntry","TEL-FIL-QUEUE","CT-FIL-RF001","MVP"
"RF-FIL-002","RN-FIL-001|RN-FIL-002|RN-FIL-003|RN-FIL-004","ENT-WAITLIST-ENTRY|ENT-WAITLIST-OFFER|ENT-APPOINTMENT","listWaitlistEntries","TEL-FIL-QUEUE","CT-FIL-RF002","MVP"
"RF-FIL-003","RN-FIL-001|RN-FIL-002|RN-FIL-003|RN-FIL-004","ENT-WAITLIST-ENTRY|ENT-WAITLIST-OFFER|ENT-APPOINTMENT","createWaitlistOffer","TEL-FIL-QUEUE","CT-FIL-RF003","MVP"
"RF-FIL-004","RN-FIL-001|RN-FIL-002|RN-FIL-003|RN-FIL-004","ENT-WAITLIST-ENTRY|ENT-WAITLIST-OFFER|ENT-APPOINTMENT","acceptWaitlistOffer","TEL-FIL-QUEUE","CT-FIL-RF004|CT-FIL-001","MVP"
"RF-FIL-005","RN-FIL-001|RN-FIL-002|RN-FIL-003|RN-FIL-004","ENT-WAITLIST-ENTRY|ENT-WAITLIST-OFFER|ENT-APPOINTMENT","removeWaitlistEntry","TEL-FIL-QUEUE","CT-FIL-RF005","MVP"
"RF-COM-001","RN-COM-001|RN-COM-002|RN-COM-003|RN-COM-004|RN-COM-005|RN-COM-006|RN-COM-007","ENT-COMMISSION-RULE|ENT-COMMISSION-ENTRY","listCommissionRules|createCommissionRule|updateCommissionRule","TEL-COM-SUMMARY","CT-COM-RF001","MVP"
